tweet,sentiment
"Overall, The temperature is around 25 degrees ",neutral
"Overall, I really disliked this experience today.",negative
"Just saying, The temperature is around 25 degrees right now.",neutral
"In my opinion, This is amazing and works perfectly #twitter",positive
The event starts at 6 PM today.,neutral
"Right now, The product is available in three colors in my opinion.",neutral
I really disliked this experience,negative
"Honestly, The team did an amazing job in my opinion.",positive
"In my opinion, This made my day much worse ",negative
"In my opinion, This is not what I wanted ",negative
"Just saying, This is not what I wanted today.",negative
Feeling great and positive today today.,positive
The train arrived at the station .,neutral
"Right now, Worst purchase I have made #twitter",negative
I am satisfied with the results honestly.,positive
"Today, The application has been updated honestly.",neutral
"Right now, I am satisfied with the results right now.",positive
"In my opinion, The results will be announced later .",neutral
"Honestly, The team did a terrible job #twitter",negative
"Personally, I am very happy with the results .",positive
"Right now, The flight is scheduled for Monday right now.",neutral
"Today, The company released a new announcement today.",neutral
"Right now, This movie was fantastic .",positive
"For me, I absolutely hate this product after trying it.",negative
"Just saying, The flight is scheduled for Monday .",neutral
"After trying it, This is exactly what I wanted .",positive
"Honestly, The train arrived at the station .",neutral
"Personally, This made my day much worse .",negative
"For me, The package contains two items .",neutral
I absolutely hate this product #twitter,negative
"Honestly, I really enjoyed this experience .",positive
"Just saying, Feeling frustrated and disappointed today .",negative
"In my opinion, The team did a terrible job right now.",negative
"For me, I would not recommend this #review",negative
"Overall, This update is awesome honestly.",positive
"Personally, I am very disappointed with the results #twitter",negative
The weather is cloudy today .,neutral
"Overall, I watched the latest episode after trying it.",neutral
"Just saying, The meeting is scheduled for tomorrow in my opinion.",neutral
"Honestly, I highly recommend this right now.",positive
"Right now, The weather is cloudy today .",neutral
"After trying it, This made my day much worse after trying it.",negative
Best purchase I have made in a long time honestly.,positive
"Personally, This is not what I wanted .",negative
"After trying it, I am satisfied with the results #twitter",positive
"Honestly, Feeling frustrated and disappointed today .",negative
"Personally, The new features are brilliant today.",positive
"After trying it, The new features are useless after trying it.",negative
"After trying it, The results will be announced later today.",neutral
