tweet,sentiment
"Honestly, The service was awful #twitter",negative
Absolutely awful experience .,negative
"In my opinion, I absolutely love this product .",positive
"Overall, The meeting is scheduled for tomorrow .",neutral
"Today, I am very happy with the results .",positive
"Today, Such a horrible day .",negative
"Personally, The flight is scheduled for Monday today.",neutral
I received the package this morning after trying it.,neutral
"Right now, What a horrible experience today right now.",negative
"Just saying, The new features are useless in my opinion.",negative
The results will be announced later right now.,neutral
"Today, The team did a terrible job #twitter",negative
"Personally, The new features are brilliant .",positive
"Personally, I really disliked this experience #review",negative
"In my opinion, The team will meet next week .",neutral
"Today, I am impressed with the quality .",positive
What a horrible experience today .,negative
"Today, The train arrived at the station .",neutral
"Honestly, Best purchase I have made in a long time #review",positive
"For me, The results will be announced later .",neutral
"In my opinion, The train arrived at the station .",neutral
"In my opinion, This movie was fantastic in my opinion.",positive
"Personally, The product is available in three colors .",neutral
"In my opinion, Feeling frustrated and disappointed today in my opinion.",negative
"After trying it, The team did a terrible job after trying it.",negative
"Honestly, I am impressed with the quality .",positive
"Right now, I would not recommend this .",negative
"Today, I am disappointed with the quality .",negative
"After trying it, I am satisfied with the results .",positive
"Overall, This movie was extremely boring honestly.",negative
"Today, Absolutely fantastic experience .",positive
"Overall, Best purchase I have made in a long time right now.",positive
"Today, The store opens at 9 AM right now.",neutral
"Today, I highly recommend this #review",positive
"Just saying, Everything worked perfectly today.",positive
"Overall, This made my day much worse in my opinion.",negative
"In my opinion, I am unhappy with the results #twitter",negative
"Right now, Feeling frustrated and disappointed today after trying it.",negative
"Personally, This movie was extremely boring .",negative
"Overall, I received the package this morning .",neutral
"Today, The store opens at 9 AM .",neutral
"For me, The event starts at 6 PM .",neutral
"Just saying, This made my day much worse",negative
"Overall, This movie was extremely boring .",negative
"Personally, What a horrible experience today .",negative
"Today, This is not what I wanted .",negative
"Personally, The report was published today right now.",neutral
"Honestly, The weather is cloudy today honestly.",neutral
"Honestly, I am impressed with the quality right now.",positive
"Just saying, I am checking the latest information #review",neutral
"Overall, I am very happy with the results .",positive
"Overall, This made my day much worse",negative
"Just saying, What a horrible experience today .",negative
"Honestly, Feeling great and positive today .",positive
"Personally, I watched the latest episode #twitter",neutral
"Right now, I am disappointed with the quality .",negative
"Personally, The new features are brilliant after trying it.",positive
"Right now, This made my day so much better .",positive
"In my opinion, The team will meet next week .",neutral
"Overall, The train arrived at the station in my opinion.",neutral
"After trying it, I am reading the news right now in my opinion.",neutral
"Personally, The team will meet next week .",neutral
"In my opinion, The package contains two items .",neutral
"In my opinion, Best purchase I have made in a long time",positive
"Honestly, Such a beautiful day after trying it.",positive
"Just saying, I am satisfied with the results today.",positive
"Overall, The temperature is around 25 degrees .",neutral
"Personally, Best purchase I have made in a long time .",positive
"In my opinion, Absolutely fantastic experience #review",positive
"In my opinion, I received the package this morning .",neutral
"Right now, The weather is cloudy today .",neutral
"In my opinion, I am checking the latest information .",neutral
I watched the latest episode .,neutral
"Personally, The application has been updated honestly.",neutral
"Overall, This made my day so much better .",positive
"Today, I watched the latest episode after trying it.",neutral
"Overall, Such a horrible day #review",negative
The train arrived at the station,neutral
"Right now, The package contains two items right now.",neutral
"Today, The website is currently available .",neutral
The package contains two items #twitter,neutral
"In my opinion, This is not what I wanted .",negative
"Overall, I am impressed with the quality .",positive
"For me, The service was excellent .",positive
Best purchase I have made in a long time .,positive
"After trying it, The application has been updated .",neutral
"Personally, I am impressed with the quality .",positive
"Today, Absolutely awful experience .",negative
"In my opinion, I am unhappy with the results .",negative
"For me, The class begins at 10 AM .",neutral
"In my opinion, Everything worked perfectly .",positive
"Personally, This movie was fantastic #twitter",positive
"After trying it, The team will meet next week .",neutral
"Just saying, The team did an amazing job .",positive
"After trying it, The package contains two items",neutral
"Today, This movie was fantastic after trying it.",positive
"In my opinion, The team did an amazing job .",positive
"Personally, The event starts at 6 PM",neutral
"For me, Worst purchase I have made .",negative
"Today, The website is currently available .",neutral
"Right now, Absolutely fantastic experience .",positive
"Today, This update is terrible right now.",negative
"After trying it, Feeling great and positive today",positive
"After trying it, This is terrible and does not work .",negative
"After trying it, I absolutely love this product after trying it.",positive
I highly recommend this .,positive
"Personally, This is terrible and does not work #twitter",negative
"Today, What a horrible experience today .",negative
"Today, This is amazing and works perfectly .",positive
Feeling frustrated and disappointed today .,negative
"Just saying, The team did an amazing job #review",positive
"Personally, This movie was fantastic in my opinion.",positive
"Honestly, The product is available in three colors .",neutral
What a wonderful experience today today.,positive
"Just saying, I am very happy with the results .",positive
"Right now, The company released a new announcement .",neutral
"Today, The service was excellent in my opinion.",positive
"Just saying, Everything worked perfectly .",positive
"For me, This is not what I wanted today.",negative
"Today, The service was awful .",negative
"Overall, The new features are useless today.",negative
"Right now, The results will be announced later .",neutral
"For me, The team will meet next week #review",neutral
"In my opinion, This is terrible and does not work .",negative
"Today, I highly recommend this .",positive
"Honestly, The team will meet next week .",neutral
"For me, I watched the latest episode .",neutral
"Right now, I am checking the latest information .",neutral
"After trying it, Such a horrible day in my opinion.",negative
"Personally, I am disappointed with the quality .",negative
"Overall, This is exactly what I wanted .",positive
"Just saying, The weather is cloudy today .",neutral
"Today, What a wonderful experience today in my opinion.",positive
I highly recommend this .,positive
Best purchase I have made in a long time right now.,positive
"In my opinion, This is amazing and works perfectly in my opinion.",positive
"For me, I really enjoyed this experience honestly.",positive
This is terrible and does not work .,negative
"After trying it, This movie was extremely boring .",negative
"Personally, This is not what I wanted .",negative
"After trying it, I really disliked this experience #review",negative
"Personally, Absolutely awful experience in my opinion.",negative
"For me, Best purchase I have made in a long time",positive
"In my opinion, I really enjoyed this experience after trying it.",positive
"Personally, Absolutely fantastic experience #twitter",positive
"Just saying, Absolutely awful experience right now.",negative
"Today, The application has been updated .",neutral
"Personally, This made my day so much better .",positive
"Personally, This movie was extremely boring .",negative
"Today, This made my day much worse #review",negative
"Today, The report was published today in my opinion.",neutral
"Personally, I am checking the latest information right now.",neutral
"Overall, I received the package this morning .",neutral
"Right now, The service was awful .",negative
"Today, I am satisfied with the results right now.",positive
"In my opinion, This made my day so much better in my opinion.",positive
"After trying it, This made my day much worse .",negative
