id,text,category
1,I would recommend this movie,positive
2,The movie was excellent,positive
3,This movie is good,positive
4,The quality is impressive,positive
5,The acting is good,positive
6,The story is good,positive
7,The story is good,positive
8,I really like this movie,positive
9,The quality is impressive,positive
10,The movie was excellent,positive
11,This product works perfectly,positive
12,The quality is impressive,positive
13,The movie was enjoyable,positive
14,The movie was great,positive
15,The result was excellent,positive
16,The performance was great,positive
17,This movie is very good,positive
18,This movie is good,positive
19,The movie was great,positive
20,This is a good movie,positive
21,The story is good,positive
22,I am satisfied with the service,positive
23,This is a fantastic experience,positive
24,This movie is good,positive
25,The movie was enjoyable,positive
26,This is a good movie,positive
27,The experience was wonderful,positive
28,I would recommend this movie,positive
29,The experience was wonderful,positive
30,The movie was enjoyable,positive
31,The performance was great,positive
32,The story is good,positive
33,This is an amazing experience,positive
34,The result was excellent,positive
35,The acting is good,positive
36,This movie is good,positive
37,I am pleased with the result,positive
38,I love this movie,positive
39,The experience was wonderful,positive
40,The performance was great,positive
41,The product is good,positive
42,The acting is good,positive
43,I really like this movie,positive
44,This is a good movie,positive
45,I am pleased with the result,positive
46,The product is good,positive
47,The movie was excellent,positive
48,The movie was great,positive
49,The quality is excellent,positive
50,The movie was excellent,positive
51,This experience was good,positive
52,This experience was good,positive
53,This is a fantastic experience,positive
54,The acting is good,positive
55,This movie is very good,positive
56,The quality is impressive,positive
57,This is an amazing experience,positive
58,The movie was enjoyable,positive
59,The movie was excellent,positive
60,The quality is excellent,positive
61,The movie was great,positive
62,The movie was enjoyable,positive
63,The service was good,positive
64,I would recommend this movie,positive
65,This is a fantastic experience,positive
66,This experience was good,positive
67,The result was excellent,positive
68,This is a good movie,positive
69,The experience was wonderful,positive
70,The movie was great,positive
71,This movie is very good,positive
72,This product works perfectly,positive
73,The story is good,positive
74,I am pleased with the result,positive
75,The service was good,positive
76,The movie was great,positive
77,The story is good,positive
78,The movie was excellent,positive
79,The quality is excellent,positive
80,The acting is good,positive
81,This is an amazing experience,positive
82,I would recommend this movie,positive
83,This experience was good,positive
84,I love this movie,positive
85,This experience was good,positive
86,This experience was good,positive
87,This is a good movie,positive
88,This product works perfectly,positive
89,The acting is good,positive
90,The experience was wonderful,positive
91,This product works perfectly,positive
92,I would recommend this movie,positive
93,The movie was great,positive
94,This is a fantastic experience,positive
95,I would recommend this movie,positive
96,I love this movie,positive
97,The movie was enjoyable,positive
98,The quality is impressive,positive
99,The story is good,positive
100,I love this movie,positive
101,This is an amazing experience,positive
102,The quality is excellent,positive
103,The acting is good,positive
104,I would recommend this movie,positive
105,The experience was wonderful,positive
106,The movie was enjoyable,positive
107,The story is good,positive
108,This product works perfectly,positive
109,The product is good,positive
110,I am pleased with the result,positive
111,I am pleased with the result,positive
112,This movie is very good,positive
113,The story is good,positive
114,This movie is very good,positive
115,The product is good,positive
116,The quality is excellent,positive
117,The acting is good,positive
118,The movie was great,positive
119,This is a good movie,positive
120,The result was excellent,positive
121,The experience was wonderful,positive
122,The product is good,positive
123,This is a good movie,positive
124,I would recommend this movie,positive
125,I am happy with this product,positive
126,The quality is excellent,positive
127,I would recommend this movie,positive
128,This is an amazing experience,positive
129,I really like this movie,positive
130,The acting is good,positive
131,I really like this movie,positive
132,The story is good,positive
133,The quality is impressive,positive
134,The movie was enjoyable,positive
135,The movie was enjoyable,positive
136,The acting is good,positive
137,The quality is impressive,positive
138,The result was excellent,positive
139,The performance was great,positive
140,The result was excellent,positive
141,The quality is excellent,positive
142,This experience was good,positive
