tweet,sentiment
"Honestly, This made my day so much better #twitter",positive
"Honestly, I am impressed with the quality .",positive
"In my opinion, Feeling great and positive today .",positive
"Today, I watched the latest episode in my opinion.",neutral
"For me, The product is available in three colors .",neutral
"Just saying, The meeting is scheduled for tomorrow #review",neutral
"Right now, Feeling frustrated and disappointed today .",negative
"Overall, I am disappointed with the quality honestly.",negative
"Just saying, The weather is cloudy today after trying it.",neutral
"Today, This update is terrible",negative
"Right now, This update is awesome right now.",positive
"Honestly, I am very disappointed with the results honestly.",negative
"Overall, I really enjoyed this experience #review",positive
"Honestly, This made my day much worse .",negative
"Personally, This is exactly what I wanted #twitter",positive
"In my opinion, The store opens at 9 AM .",neutral
Absolutely awful experience #twitter,negative
"In my opinion, Everything worked perfectly in my opinion.",positive
"Personally, The meeting is scheduled for tomorrow #review",neutral
"Today, The weather is cloudy today .",neutral
"After trying it, I am impressed with the quality #twitter",positive
"Just saying, The report was published today .",neutral
"Right now, Everything worked perfectly honestly.",positive
"Overall, This made my day much worse .",negative
"After trying it, The team did a terrible job right now.",negative
"In my opinion, Worst purchase I have made",negative
"Today, This update is terrible .",negative
"Just saying, The application has been updated #review",neutral
"Personally, Absolutely awful experience honestly.",negative
The temperature is around 25 degrees .,neutral
"After trying it, I am impressed with the quality .",positive
"Just saying, The event starts at 6 PM .",neutral
"For me, This movie was extremely boring",negative
I am unhappy with the results honestly.,negative
"Overall, Best purchase I have made in a long time .",positive
"Right now, The website is currently available .",neutral
I am unhappy with the results right now.,negative
"Personally, The new features are brilliant .",positive
"Today, I am disappointed with the quality .",negative
Best purchase I have made in a long time .,positive
"Personally, The weather is cloudy today .",neutral
"After trying it, This movie was fantastic #twitter",positive
"Today, This update is awesome #twitter",positive
"In my opinion, The event starts at 6 PM .",neutral
"Personally, I absolutely love this product in my opinion.",positive
"Personally, I am satisfied with the results today.",positive
"After trying it, I am very disappointed with the results today.",negative
"For me, I am satisfied with the results .",positive
I am very disappointed with the results .,negative
"Overall, This is terrible and does not work .",negative
"Just saying, I absolutely hate this product .",negative
"Today, I really disliked this experience #review",negative
"Right now, Absolutely fantastic experience",positive
Such a horrible day #review,negative
I am checking the latest information in my opinion.,neutral
"Today, What a wonderful experience today .",positive
"Just saying, I really disliked this experience .",negative
"Personally, This made my day so much better .",positive
"In my opinion, This is exactly what I wanted today.",positive
"Right now, The results will be announced later .",neutral
"In my opinion, I am disappointed with the quality today.",negative
"Right now, The website is currently available .",neutral
"Overall, I am unhappy with the results in my opinion.",negative
"In my opinion, The product is available in three colors .",neutral
"Just saying, I am very disappointed with the results after trying it.",negative
"In my opinion, The event starts at 6 PM honestly.",neutral
"Overall, I am reading the news right now #twitter",neutral
"For me, I really disliked this experience .",negative
The package contains two items .,neutral
"For me, Feeling frustrated and disappointed today #twitter",negative
"For me, The weather is cloudy today .",neutral
The team did an amazing job .,positive
"Personally, I am very disappointed with the results .",negative
"Personally, The class begins at 10 AM after trying it.",neutral
"Today, Absolutely awful experience right now.",negative
The service was excellent .,positive
"In my opinion, This made my day so much better .",positive
"Honestly, This movie was extremely boring",negative
"Today, This update is awesome in my opinion.",positive
"In my opinion, This is exactly what I wanted after trying it.",positive
"For me, Everything went completely wrong .",negative
"In my opinion, The new features are useless in my opinion.",negative
"In my opinion, Such a horrible day .",negative
"Overall, The results will be announced later #review",neutral
"Just saying, The event starts at 6 PM #review",neutral
"For me, What a wonderful experience today .",positive
"In my opinion, I am very disappointed with the results in my opinion.",negative
"Honestly, The team did an amazing job today.",positive
"Honestly, Feeling great and positive today .",positive
"Today, This is terrible and does not work today.",negative
"Right now, The team did an amazing job today.",positive
"Just saying, I am unhappy with the results",negative
"Personally, The new features are brilliant honestly.",positive
"Right now, I am reading the news right now",neutral
"Just saying, Absolutely fantastic experience .",positive
I watched the latest episode .,neutral
"In my opinion, The flight is scheduled for Monday .",neutral
"Right now, Feeling frustrated and disappointed today #twitter",negative
"For me, I am very happy with the results .",positive
"In my opinion, Feeling great and positive today .",positive
"Personally, This is terrible and does not work after trying it.",negative
"In my opinion, I am very disappointed with the results .",negative
The train arrived at the station,neutral
"Honestly, The package contains two items today.",neutral
"Honestly, Feeling great and positive today .",positive
"Today, Absolutely awful experience #twitter",negative
"Honestly, I am disappointed with the quality in my opinion.",negative
I highly recommend this .,positive
"Just saying, This movie was fantastic .",positive
"Right now, The team did a terrible job .",negative
"Right now, This is exactly what I wanted #review",positive
"Just saying, Everything worked perfectly #twitter",positive
"Honestly, This movie was fantastic today.",positive
"Overall, This is not what I wanted .",negative
"Overall, The weather is cloudy today today.",neutral
"Today, This movie was extremely boring .",negative
"Personally, The website is currently available right now.",neutral
"Personally, I am unhappy with the results after trying it.",negative
"Overall, The flight is scheduled for Monday today.",neutral
"In my opinion, The train arrived at the station .",neutral
"Just saying, What a horrible experience today",negative
"Just saying, What a wonderful experience today today.",positive
"Personally, This update is awesome after trying it.",positive
"For me, This movie was fantastic today.",positive
"In my opinion, The service was excellent .",positive
"For me, I would not recommend this .",negative
"Honestly, Absolutely awful experience",negative
"Just saying, Feeling great and positive today",positive
"For me, The report was published today .",neutral
"Overall, Absolutely awful experience .",negative
"In my opinion, Feeling great and positive today",positive
Feeling great and positive today .,positive
"Honestly, I am impressed with the quality .",positive
"Just saying, Such a beautiful day in my opinion.",positive
The team did a terrible job .,negative
"Right now, Such a beautiful day #twitter",positive
"For me, The train arrived at the station .",neutral
"Right now, I am unhappy with the results",negative
"After trying it, Everything went completely wrong #twitter",negative
"Just saying, Feeling frustrated and disappointed today #twitter",negative
"In my opinion, The service was excellent honestly.",positive
"Honestly, Feeling great and positive today today.",positive
"Just saying, The temperature is around 25 degrees .",neutral
"Today, This made my day so much better after trying it.",positive
"Personally, This movie was extremely boring #twitter",negative
"Honestly, The new features are brilliant .",positive
"In my opinion, The website is currently available .",neutral
Best purchase I have made in a long time .,positive
"Right now, Feeling great and positive today",positive
"Honestly, This is amazing and works perfectly .",positive
"Just saying, The new features are brilliant today.",positive
"Right now, I received the package this morning .",neutral
"After trying it, The website is currently available in my opinion.",neutral
"Overall, I really enjoyed this experience in my opinion.",positive
"Today, The flight is scheduled for Monday in my opinion.",neutral
"Right now, I really disliked this experience #twitter",negative
"Honestly, I absolutely hate this product .",negative
"Right now, I really disliked this experience .",negative
"Honestly, This update is awesome .",positive
"Personally, The store opens at 9 AM #twitter",neutral
"In my opinion, I am disappointed with the quality .",negative
"In my opinion, The service was awful .",negative
"After trying it, Feeling great and positive today #review",positive
"Personally, The report was published today .",neutral
"In my opinion, I absolutely hate this product .",negative
"After trying it, The temperature is around 25 degrees today.",neutral
"Just saying, I watched the latest episode in my opinion.",neutral
"For me, The store opens at 9 AM honestly.",neutral
"Overall, The temperature is around 25 degrees",neutral
"After trying it, The report was published today today.",neutral
"Today, Absolutely awful experience #review",negative
"Honestly, The company released a new announcement .",neutral
"Right now, The event starts at 6 PM #twitter",neutral
"Today, I am disappointed with the quality .",negative
The class begins at 10 AM,neutral
I am satisfied with the results .,positive
"Today, The store opens at 9 AM",neutral
"Today, The train arrived at the station in my opinion.",neutral
"Personally, The application has been updated .",neutral
"Overall, What a wonderful experience today .",positive
"Honestly, Best purchase I have made in a long time .",positive
The website is currently available #twitter,neutral
"For me, The service was awful today.",negative
"Overall, I absolutely hate this product right now.",negative
"Overall, The website is currently available .",neutral
The event starts at 6 PM .,neutral
"Right now, This is not what I wanted #twitter",negative
Such a horrible day .,negative
"Today, I am very happy with the results #twitter",positive
"Just saying, The flight is scheduled for Monday honestly.",neutral
"Just saying, Feeling great and positive today after trying it.",positive
"For me, The meeting is scheduled for tomorrow after trying it.",neutral
"Right now, The company released a new announcement .",neutral
"Personally, I am unhappy with the results honestly.",negative
"Overall, This update is terrible .",negative
"Right now, The store opens at 9 AM",neutral
"Honestly, I am very disappointed with the results #review",negative
"Just saying, The service was excellent .",positive
"Personally, Best purchase I have made in a long time .",positive
"For me, I absolutely hate this product .",negative
"Today, What a horrible experience today",negative
"In my opinion, This is exactly what I wanted .",positive
This update is terrible in my opinion.,negative
"After trying it, I am very disappointed with the results .",negative
"Today, This made my day so much better .",positive
"Personally, The new features are brilliant .",positive
"Right now, The results will be announced later .",neutral
"For me, The meeting is scheduled for tomorrow .",neutral
"Overall, The meeting is scheduled for tomorrow .",neutral
"Just saying, The results will be announced later in my opinion.",neutral
"In my opinion, This update is terrible .",negative
"Personally, I absolutely hate this product honestly.",negative
"For me, I am satisfied with the results",positive
"Right now, The report was published today right now.",neutral
"Honestly, Such a horrible day .",negative
"Just saying, I am satisfied with the results .",positive
"Right now, This is exactly what I wanted .",positive
"Honestly, I highly recommend this in my opinion.",positive
"Just saying, I watched the latest episode .",neutral
"Right now, The flight is scheduled for Monday after trying it.",neutral
"For me, Best purchase I have made in a long time #twitter",positive
This made my day so much better honestly.,positive
"Honestly, This is exactly what I wanted .",positive
"Personally, I really disliked this experience #review",negative
"After trying it, I am very happy with the results right now.",positive
"Just saying, This update is awesome after trying it.",positive
"Just saying, I would not recommend this",negative
"Personally, The new features are brilliant .",positive
"Today, The product is available in three colors today.",neutral
"For me, The new features are useless .",negative
This movie was fantastic today.,positive
"Honestly, Absolutely awful experience in my opinion.",negative
"In my opinion, The class begins at 10 AM .",neutral
"Just saying, This made my day so much better honestly.",positive
"In my opinion, This is terrible and does not work today.",negative
"For me, The new features are brilliant after trying it.",positive
"For me, The team will meet next week .",neutral
"For me, Feeling frustrated and disappointed today .",negative
"Honestly, The service was awful .",negative
"Overall, The service was excellent #twitter",positive
"Personally, This is terrible and does not work today.",negative
"Personally, The team did a terrible job honestly.",negative
"For me, The class begins at 10 AM .",neutral
"In my opinion, The service was excellent #twitter",positive
"Right now, Absolutely awful experience .",negative
"Just saying, I am very disappointed with the results after trying it.",negative
"Just saying, This is exactly what I wanted today.",positive
"Right now, The application has been updated .",neutral
"For me, The train arrived at the station .",neutral
"Honestly, The team did a terrible job .",negative
"Honestly, The service was awful .",negative
"After trying it, The team will meet next week in my opinion.",neutral
"Today, This movie was fantastic right now.",positive
"Right now, I highly recommend this .",positive
"Honestly, The service was awful #twitter",negative
"Today, The company released a new announcement .",neutral
"After trying it, This is amazing and works perfectly after trying it.",positive
"Overall, Absolutely awful experience in my opinion.",negative
"After trying it, I would not recommend this right now.",negative
"Today, Such a horrible day #twitter",negative
"After trying it, The product is available in three colors right now.",neutral
"Today, This made my day so much better .",positive
"For me, Worst purchase I have made #twitter",negative
"In my opinion, The service was awful",negative
"Personally, The train arrived at the station .",neutral
"After trying it, Absolutely awful experience .",negative
"Overall, This is amazing and works perfectly right now.",positive
"Personally, I would not recommend this .",negative
"After trying it, This made my day much worse honestly.",negative
"After trying it, Everything went completely wrong",negative
"Today, I am impressed with the quality .",positive
"For me, The new features are brilliant honestly.",positive
"In my opinion, This movie was extremely boring .",negative
"Honestly, The team did an amazing job #twitter",positive
"Today, The new features are useless today.",negative
"Right now, The meeting is scheduled for tomorrow .",neutral
"In my opinion, I received the package this morning #review",neutral
"Right now, The results will be announced later .",neutral
The website is currently available in my opinion.,neutral
"After trying it, This movie was extremely boring .",negative
