id,text,category
1,The movie is neither good nor bad,neutral
2,The experience was average,neutral
3,Nothing special about this,neutral
4,It is neither impressive nor disappointing,neutral
5,It was fine,neutral
6,The service was acceptable,neutral
7,The movie is average,neutral
8,It was fine,neutral
9,The performance was okay,neutral
10,The experience was neither good nor bad,neutral
11,The result is average,neutral
12,The experience was average,neutral
13,The result is average,neutral
14,The service is okay,neutral
15,The movie is average,neutral
16,The service was acceptable,neutral
17,The product is decent overall,neutral
18,The movie is neither good nor bad,neutral
19,The service was acceptable,neutral
20,The service was acceptable,neutral
21,The product is decent,neutral
22,I have a neutral opinion about this,neutral
23,I have a neutral opinion about this,neutral
24,The experience was neither good nor bad,neutral
25,The product is decent overall,neutral
26,The movie was decent overall,neutral
27,The experience was average,neutral
28,The movie is neither good nor bad,neutral
29,The movie was decent overall,neutral
30,The quality is acceptable,neutral
31,The product is decent,neutral
32,The service is okay,neutral
33,The movie was just okay,neutral
34,The movie was decent overall,neutral
35,The product is decent overall,neutral
36,The movie is average,neutral
37,The service is okay,neutral
38,The product is decent overall,neutral
39,The product works as expected,neutral
40,The movie was ordinary,neutral
41,It is neither impressive nor disappointing,neutral
42,It is neither impressive nor disappointing,neutral
43,The movie was ordinary,neutral
44,The service is average,neutral
45,It is neither impressive nor disappointing,neutral
46,The product is decent overall,neutral
47,The product is decent overall,neutral
48,The movie was just okay,neutral
49,The result is average,neutral
50,The product is decent overall,neutral
51,The result is average,neutral
52,The movie was decent overall,neutral
53,The movie was ordinary,neutral
54,The movie is average,neutral
55,The product works as expected,neutral
56,The movie was ordinary,neutral
57,The product is decent overall,neutral
58,The performance was okay,neutral
59,The quality is acceptable,neutral
60,It is neither impressive nor disappointing,neutral
61,The movie is okay,neutral
62,I have a neutral opinion about this,neutral
63,The service was acceptable,neutral
64,The movie is average,neutral
65,The performance was okay,neutral
66,The movie was ordinary,neutral
67,The movie was ordinary,neutral
68,The movie is okay,neutral
69,The movie is okay,neutral
70,I have a neutral opinion about this,neutral
71,The performance was okay,neutral
72,The movie is average,neutral
73,The product is decent overall,neutral
74,The movie is average,neutral
75,The movie was just okay,neutral
76,The movie was just okay,neutral
77,The service was acceptable,neutral
78,It was fine,neutral
79,The movie was ordinary,neutral
80,It is neither impressive nor disappointing,neutral
81,The experience was normal,neutral
82,The experience was neither good nor bad,neutral
83,The movie is okay,neutral
84,The movie was ordinary,neutral
85,It is neither impressive nor disappointing,neutral
86,The product is decent overall,neutral
87,The product is decent,neutral
88,The result is average,neutral
89,The movie was just okay,neutral
90,The product works as expected,neutral
91,The service was acceptable,neutral
92,The movie was decent overall,neutral
93,The movie is okay,neutral
94,The movie was ordinary,neutral
95,The movie is neither good nor bad,neutral
96,The result is average,neutral
97,The result is acceptable,neutral
98,The movie is average,neutral
99,The service was acceptable,neutral
100,The product is decent overall,neutral
101,The service is okay,neutral
102,The movie is okay,neutral
103,The experience was average,neutral
104,The result is acceptable,neutral
105,The movie was ordinary,neutral
106,The movie was ordinary,neutral
107,The service was acceptable,neutral
108,The service was acceptable,neutral
109,The movie was just okay,neutral
110,The service is okay,neutral
111,I have a neutral opinion about this,neutral
112,I have a neutral opinion about this,neutral
113,The performance was okay,neutral
114,It was fine,neutral
115,Nothing special about this,neutral
116,The result is average,neutral
117,The service is average,neutral
118,The movie was just okay,neutral
119,The movie is okay,neutral
120,The product is decent overall,neutral
121,The product is decent overall,neutral
122,The result is average,neutral
123,The movie is average,neutral
124,The result is average,neutral
125,The movie is neither good nor bad,neutral
126,The experience was normal,neutral
127,The service is average,neutral
128,It was fine,neutral
129,The performance was okay,neutral
130,The quality is acceptable,neutral
131,The experience was neither good nor bad,neutral
132,The service is average,neutral
133,The movie was just okay,neutral
134,The movie was decent overall,neutral
135,The result is average,neutral
136,The movie is average,neutral
137,It is neither impressive nor disappointing,neutral
138,The service is average,neutral
139,The movie was decent overall,neutral
140,I have a neutral opinion about this,neutral
141,The performance was okay,neutral
142,The product is decent overall,neutral
143,The result is acceptable,neutral
144,The service is average,neutral
145,It was fine,neutral
146,The movie was decent overall,neutral
147,The movie was just okay,neutral
148,The result is acceptable,neutral
149,The movie is average,neutral
150,The performance was okay,neutral
151,The experience was normal,neutral
152,It was fine,neutral
153,The product is decent overall,neutral
154,The result is average,neutral
155,The movie was decent overall,neutral
156,The service is average,neutral
157,The result is acceptable,neutral
158,The experience was neither good nor bad,neutral
159,The service is average,neutral
160,The service was acceptable,neutral
161,The movie is average,neutral
162,The product is decent overall,neutral
163,The service is average,neutral
164,Nothing special about this,neutral
165,The service was acceptable,neutral
166,I have a neutral opinion about this,neutral
167,The movie is decent,neutral
168,I have a neutral opinion about this,neutral
169,The performance was okay,neutral
170,The service is okay,neutral
171,The product is decent,neutral
172,The result is average,neutral
173,The product works as expected,neutral
174,The product is decent,neutral
175,The experience was average,neutral
176,The movie was decent overall,neutral
177,The movie was decent overall,neutral
178,The movie is average,neutral
179,The performance was okay,neutral
180,The movie is neither good nor bad,neutral
181,The service was acceptable,neutral
182,The experience was normal,neutral
183,The experience was neither good nor bad,neutral
184,The service was acceptable,neutral
185,The movie is okay,neutral
186,The service is average,neutral
187,The result is average,neutral
188,The movie was just okay,neutral
189,The movie was decent overall,neutral
190,The movie was just okay,neutral
191,It was fine,neutral
192,The movie was decent overall,neutral
193,The service is okay,neutral
194,The service is okay,neutral
195,The result is acceptable,neutral
196,The movie was just okay,neutral
197,The service is okay,neutral
198,The experience was neither good nor bad,neutral
199,The movie was ordinary,neutral
200,The movie is okay,neutral
201,Nothing special about this,neutral
202,I have a neutral opinion about this,neutral
203,The service is average,neutral
204,The experience was neither good nor bad,neutral
205,The experience was average,neutral
206,The movie was ordinary,neutral
207,The movie was just okay,neutral
208,The performance was okay,neutral
209,The experience was neither good nor bad,neutral
210,The movie was ordinary,neutral
211,The experience was average,neutral
212,The experience was normal,neutral
213,The experience was average,neutral
214,The performance was okay,neutral
215,The product works as expected,neutral
216,The product is decent,neutral
217,I have a neutral opinion about this,neutral
218,The service is average,neutral
