tweet,sentiment
"Overall, I highly recommend this honestly.",positive
"Right now, What a horrible experience today .",negative
"After trying it, The temperature is around 25 degrees .",neutral
"Personally, This is terrible and does not work .",negative
"Honestly, The website is currently available .",neutral
"Honestly, The application has been updated .",neutral
"After trying it, This is amazing and works perfectly .",positive
"After trying it, The event starts at 6 PM after trying it.",neutral
"For me, This is not what I wanted",negative
"Right now, The product is available in three colors .",neutral
"In my opinion, The train arrived at the station .",neutral
"Today, I am unhappy with the results after trying it.",negative
"Overall, This is terrible and does not work in my opinion.",negative
"Personally, I highly recommend this .",positive
"Honestly, Worst purchase I have made .",negative
"After trying it, The event starts at 6 PM honestly.",neutral
"Personally, The new features are useless .",negative
"Overall, This update is terrible",negative
"For me, The train arrived at the station .",neutral
"Just saying, I am very happy with the results .",positive
"Right now, The application has been updated .",neutral
I highly recommend this in my opinion.,positive
"For me, The meeting is scheduled for tomorrow honestly.",neutral
"Overall, The new features are useless honestly.",negative
"After trying it, I am satisfied with the results .",positive
"Today, The package contains two items .",neutral
"After trying it, The temperature is around 25 degrees right now.",neutral
"Personally, I am disappointed with the quality .",negative
"Right now, The team did an amazing job right now.",positive
"After trying it, I watched the latest episode right now.",neutral
"Personally, The company released a new announcement in my opinion.",neutral
"In my opinion, Feeling frustrated and disappointed today right now.",negative
"Personally, I watched the latest episode .",neutral
"In my opinion, Everything went completely wrong today.",negative
"In my opinion, I am satisfied with the results .",positive
"Honestly, The package contains two items .",neutral
"Just saying, This made my day so much better #review",positive
"Just saying, I received the package this morning .",neutral
"Right now, This is amazing and works perfectly right now.",positive
"Personally, I am very disappointed with the results after trying it.",negative
"After trying it, Such a horrible day .",negative
"Personally, This is exactly what I wanted",positive
Feeling great and positive today .,positive
"Personally, I am reading the news right now .",neutral
"After trying it, This update is terrible .",negative
"For me, Absolutely fantastic experience in my opinion.",positive
Feeling frustrated and disappointed today .,negative
"After trying it, Best purchase I have made in a long time honestly.",positive
"Right now, I absolutely hate this product right now.",negative
"Right now, Everything worked perfectly #review",positive
"For me, I am disappointed with the quality in my opinion.",negative
The team did an amazing job right now.,positive
"Honestly, The service was awful .",negative
The team did a terrible job .,negative
"For me, Feeling frustrated and disappointed today .",negative
"Just saying, The website is currently available",neutral
"Overall, The temperature is around 25 degrees honestly.",neutral
I would not recommend this honestly.,negative
"Personally, I am reading the news right now .",neutral
"Today, The team did an amazing job .",positive
"Overall, I am satisfied with the results .",positive
"In my opinion, I really enjoyed this experience",positive
I am very happy with the results,positive
"Just saying, The temperature is around 25 degrees right now.",neutral
"In my opinion, I watched the latest episode .",neutral
"Today, I am impressed with the quality .",positive
"Overall, What a horrible experience today in my opinion.",negative
"Personally, The flight is scheduled for Monday #twitter",neutral
"After trying it, The product is available in three colors honestly.",neutral
The service was excellent today.,positive
"Personally, I absolutely love this product .",positive
"After trying it, The meeting is scheduled for tomorrow .",neutral
"Today, What a wonderful experience today .",positive
"After trying it, Best purchase I have made in a long time #review",positive
"Honestly, The new features are brilliant right now.",positive
"Just saying, Feeling great and positive today right now.",positive
"Overall, This movie was extremely boring .",negative
"After trying it, The train arrived at the station",neutral
"Just saying, Everything went completely wrong #review",negative
The new features are brilliant .,positive
"Personally, Absolutely fantastic experience #review",positive
"Right now, I am very happy with the results .",positive
"Right now, Such a beautiful day .",positive
"Personally, I am checking the latest information .",neutral
The meeting is scheduled for tomorrow .,neutral
"In my opinion, I really disliked this experience",negative
"Right now, The store opens at 9 AM #review",neutral
"Personally, I am unhappy with the results in my opinion.",negative
"Today, I really enjoyed this experience .",positive
"Today, The store opens at 9 AM honestly.",neutral
"After trying it, This movie was extremely boring .",negative
"In my opinion, The flight is scheduled for Monday",neutral
"Today, I really disliked this experience .",negative
"Personally, The application has been updated .",neutral
"Right now, The team did a terrible job",negative
"In my opinion, Absolutely awful experience #review",negative
"Today, The store opens at 9 AM .",neutral
"Personally, The product is available in three colors honestly.",neutral
"After trying it, Everything went completely wrong in my opinion.",negative
"Personally, The new features are useless .",negative
"Just saying, The event starts at 6 PM .",neutral
"For me, The weather is cloudy today after trying it.",neutral
"Overall, The team did an amazing job .",positive
"After trying it, This made my day much worse today.",negative
"For me, Absolutely awful experience #twitter",negative
"Honestly, The temperature is around 25 degrees honestly.",neutral
"Just saying, The company released a new announcement #review",neutral
"Right now, Feeling frustrated and disappointed today .",negative
Such a beautiful day .,positive
"After trying it, The website is currently available",neutral
"After trying it, The company released a new announcement #review",neutral
"Just saying, The new features are brilliant .",positive
"In my opinion, The train arrived at the station .",neutral
"Honestly, This movie was extremely boring .",negative
"Today, The meeting is scheduled for tomorrow .",neutral
"Just saying, I would not recommend this .",negative
"Today, I watched the latest episode today.",neutral
The train arrived at the station .,neutral
"Honestly, The meeting is scheduled for tomorrow .",neutral
Everything worked perfectly .,positive
"In my opinion, What a wonderful experience today .",positive
"Honestly, The class begins at 10 AM right now.",neutral
"After trying it, This made my day so much better after trying it.",positive
"Today, This is amazing and works perfectly .",positive
"For me, I watched the latest episode after trying it.",neutral
"Personally, The service was excellent .",positive
"Right now, Such a horrible day #twitter",negative
"Personally, I am reading the news right now .",neutral
"Personally, The package contains two items .",neutral
"After trying it, What a horrible experience today .",negative
"After trying it, The class begins at 10 AM",neutral
The weather is cloudy today right now.,neutral
What a wonderful experience today after trying it.,positive
I am checking the latest information .,neutral
"Right now, Such a horrible day .",negative
"Today, I am disappointed with the quality .",negative
"Right now, Everything went completely wrong .",negative
"Overall, The results will be announced later in my opinion.",neutral
"In my opinion, Worst purchase I have made in my opinion.",negative
"Personally, Such a horrible day honestly.",negative
"In my opinion, Absolutely awful experience .",negative
"Right now, The temperature is around 25 degrees #twitter",neutral
"Honestly, Such a horrible day .",negative
"In my opinion, This made my day so much better #twitter",positive
"Just saying, The service was awful .",negative
"Right now, I am disappointed with the quality .",negative
"Honestly, The package contains two items .",neutral
"After trying it, I received the package this morning #review",neutral
"Overall, Best purchase I have made in a long time after trying it.",positive
"Overall, Absolutely awful experience .",negative
The service was excellent .,positive
This is exactly what I wanted .,positive
Everything went completely wrong .,negative
"Today, The train arrived at the station .",neutral
"Today, This update is awesome .",positive
"Personally, This is exactly what I wanted .",positive
"Overall, The store opens at 9 AM .",neutral
"After trying it, The product is available in three colors .",neutral
"For me, This made my day much worse .",negative
"In my opinion, I am checking the latest information .",neutral
"Personally, I am reading the news right now .",neutral
"Personally, Everything worked perfectly .",positive
I watched the latest episode .,neutral
"After trying it, I absolutely hate this product after trying it.",negative
I really enjoyed this experience .,positive
"In my opinion, I highly recommend this in my opinion.",positive
"Overall, Such a horrible day right now.",negative
"Right now, This update is awesome honestly.",positive
I highly recommend this today.,positive
"For me, I absolutely hate this product .",negative
"For me, The weather is cloudy today",neutral
What a horrible experience today .,negative
"Personally, The report was published today .",neutral
"Honestly, I really enjoyed this experience today.",positive
"Just saying, Such a beautiful day right now.",positive
"After trying it, The service was awful .",negative
"After trying it, This is terrible and does not work #review",negative
"Overall, The report was published today after trying it.",neutral
"Just saying, The team did a terrible job .",negative
"Personally, The team will meet next week .",neutral
"For me, Feeling great and positive today .",positive
"Honestly, I absolutely love this product honestly.",positive
"Today, Everything worked perfectly in my opinion.",positive
I received the package this morning .,neutral
"Just saying, Such a horrible day .",negative
"Overall, The train arrived at the station .",neutral
"For me, Such a beautiful day .",positive
"Overall, This movie was fantastic .",positive
"In my opinion, What a wonderful experience today .",positive
"Right now, I am satisfied with the results #review",positive
"For me, This is not what I wanted honestly.",negative
"Overall, I am reading the news right now .",neutral
