id,text,category
1117,"The movie was neither good nor bad; it was simply okay. Considering everything, this is my overall experience.",neutral
1369,"The book has some strong parts and some weak parts, making it average overall.",neutral
423,"I did not like a few characters, but I loved the plot and thought the book was very good overall. Overall, this is my opinion.",positive
414,"The first half was slow, but the second half was amazing and made the movie worth watching.",positive
452,"I like this book so much, the author described the story very well. I like the plot, although a few characters have a bad subplot, but overall everything is good. Overall, this is my opinion.",positive
862,"A few characters are interesting, but the plot is boring and the book is not enjoyable. Overall, this is my opinion.",negative
1064,"The movie has some good scenes and some boring scenes, but overall it is average. Considering everything, this is my overall experience.",neutral
742,"The product looks good, but it does not work properly and I am disappointed.",negative
1273,"The movie has some good scenes and some boring scenes, but overall it is average.",neutral
260,"This product has some small problems, but overall it works very well and I am happy with it.",positive
889,"A few characters are interesting, but the plot is boring and the book is not enjoyable. Overall, this is my opinion.",negative
1433,"The movie has both good and bad parts, but overall it is average.",neutral
713,"The story is interesting at times, but the ending is bad and the overall movie is terrible. Overall, this is my opinion.",negative
1383,"The movie is okay and has some enjoyable scenes, but nothing was especially impressive. Overall, this is my opinion.",neutral
71,"The plot is fantastic, although a few characters are weak. Overall, this is a very good book.",positive
1269,"The movie is okay and has some enjoyable scenes, but nothing was especially impressive. Considering everything, this is my overall experience.",neutral
1492,"The acting is decent, but the story is neither particularly good nor bad.",neutral
608,"I enjoyed the beginning, but the ending was terrible and ruined the entire movie. Considering everything, this is my overall experience.",negative
434,"The first half was slow, but the second half was amazing and made the movie worth watching.",positive
52,"The movie is not perfect, but the story is great and I would recommend it.",positive
1200,"The acting is decent, but the story is neither particularly good nor bad.",neutral
1129,"The book has some strong parts and some weak parts, making it average overall. Overall, this is my opinion.",neutral
1191,"The story is average, with a few interesting characters and some ordinary ones. Considering everything, this is my overall experience.",neutral
1250,"The movie was neither good nor bad; it was simply okay. Overall, this is my opinion.",neutral
1420,"The service was okay, with some good moments and some average moments.",neutral
433,"Some parts of the movie were terrible, but the acting and story were excellent, so I enjoyed it. Considering everything, this is my overall experience.",positive
1453,"The story is average, with a few interesting characters and some ordinary ones. Overall, this is my opinion.",neutral
1471,"The movie has both good and bad parts, but overall it is average.",neutral
1235,"The book has some strong parts and some weak parts, making it average overall. Considering everything, this is my overall experience.",neutral
1282,"The movie has both good and bad parts, but overall it is average. Considering everything, this is my overall experience.",neutral
1086,"The service was okay, with some good moments and some average moments. Considering everything, this is my overall experience.",neutral
611,"A few characters are good, but the story is confusing and the book is not worth reading.",negative
1285,"The experience was normal, with both positive and negative aspects. Considering everything, this is my overall experience.",neutral
1042,"The movie has some good scenes and some boring scenes, but overall it is average.",neutral
221,"Some parts of the movie were terrible, but the acting and story were excellent, so I enjoyed it. Overall, this is my opinion.",positive
340,"The service was slow at first, but the staff were friendly and the overall experience was good. Considering everything, this is my overall experience.",positive
424,"I did not like a few characters, but I loved the plot and thought the book was very good overall.",positive
429,"I disliked a few parts of the story, but overall I liked the book very much. Considering everything, this is my overall experience.",positive
1106,"The plot is decent, but the movie does not stand out in any major way. Overall, this is my opinion.",neutral
77,"The movie has problems, but the performances are wonderful and the overall experience is positive.",positive
1392,"The product works as expected, but it is neither excellent nor terrible. Overall, this is my opinion.",neutral
