id,text,category
1,I do not like this movie,negative
2,The story is bad,negative
3,This movie is bad,negative
4,I never liked this movie,negative
5,I am unhappy with this product,negative
6,I really do not like this movie,negative
7,This is a bad movie,negative
8,This movie is very bad,negative
9,This movie is very bad,negative
10,I am unhappy with this product,negative
11,The story is bad,negative
12,I never liked this movie,negative
13,I really do not like this movie,negative
14,The result was terrible,negative
15,I was not happy with the result,negative
16,This product does not work well,negative
17,The performance was awful,negative
18,The movie was awful,negative
19,I was not happy with the result,negative
20,This movie is bad,negative
21,I am dissatisfied with the service,negative
22,The story is bad,negative
23,The performance was awful,negative
24,The performance was awful,negative
25,The quality is terrible,negative
26,The acting is bad,negative
27,I do not like this movie,negative
28,This movie is very bad,negative
29,This is a bad movie,negative
30,I was not happy with the result,negative
31,The performance was awful,negative
32,The movie was awful,negative
33,The quality is disappointing,negative
34,The movie was terrible,negative
35,The product is bad,negative
36,The performance was awful,negative
37,The movie was terrible,negative
38,I am dissatisfied with the service,negative
39,The result was terrible,negative
40,This is a disappointing experience,negative
41,This movie is very bad,negative
42,I really do not like this movie,negative
43,I really do not like this movie,negative
44,The experience was horrible,negative
45,I am dissatisfied with the service,negative
46,The story is bad,negative
47,The movie was terrible,negative
48,I hate this movie,negative
49,The movie was awful,negative
50,I am unhappy with this product,negative
51,This product does not work well,negative
52,This experience was bad,negative
53,The movie was boring,negative
54,The movie was boring,negative
55,The experience was horrible,negative
56,The movie was boring,negative
57,I hate this movie,negative
58,This product does not work well,negative
59,This is a horrible experience,negative
60,The product is bad,negative
61,The quality is terrible,negative
62,The quality is terrible,negative
63,The story is bad,negative
64,I was not happy with the result,negative
65,I am dissatisfied with the service,negative
66,This experience was bad,negative
67,The story is bad,negative
68,I am dissatisfied with the service,negative
69,The movie was boring,negative
70,This movie is very bad,negative
71,The movie was boring,negative
72,I cannot recommend this movie,negative
73,The movie was awful,negative
74,This product does not work well,negative
75,I don't like this movie,negative
76,The result was terrible,negative
77,I don't like this movie,negative
78,This is a bad movie,negative
79,This is a disappointing experience,negative
80,The movie was terrible,negative
81,I do not like this movie,negative
82,I hate this movie,negative
83,I do not like this movie,negative
84,I am unhappy with this product,negative
85,The movie was terrible,negative
86,I do not like this movie,negative
87,This movie is bad,negative
88,This experience was bad,negative
89,The quality is terrible,negative
90,I never liked this movie,negative
91,The movie was boring,negative
92,The performance was awful,negative
93,The story is bad,negative
94,This movie is very bad,negative
95,I hate this movie,negative
96,The story is bad,negative
97,I never liked this movie,negative
98,The story is bad,negative
99,I never liked this movie,negative
100,I was not happy with the result,negative
101,The quality is terrible,negative
102,The movie was terrible,negative
103,This is a disappointing experience,negative
104,I hate this movie,negative
105,This is a bad movie,negative
106,The experience was horrible,negative
107,The experience was horrible,negative
108,The result was terrible,negative
109,I am dissatisfied with the service,negative
110,This is a disappointing experience,negative
111,The experience was horrible,negative
112,I don't like this movie,negative
113,This experience was bad,negative
114,The movie was awful,negative
115,I am unhappy with this product,negative
116,I hate this movie,negative
117,The result was terrible,negative
118,I really do not like this movie,negative
119,This is a bad movie,negative
120,The quality is disappointing,negative
121,I really do not like this movie,negative
122,The movie was terrible,negative
123,This movie is very bad,negative
124,I do not like this movie,negative
125,The experience was horrible,negative
126,The story is bad,negative
127,The movie was boring,negative
128,I cannot recommend this movie,negative
129,The quality is disappointing,negative
130,I am dissatisfied with the service,negative
131,The story is bad,negative
132,The quality is terrible,negative
133,The movie was awful,negative
134,The quality is terrible,negative
135,I never liked this movie,negative
136,The story is bad,negative
137,I never liked this movie,negative
138,The product is bad,negative
139,This is a bad movie,negative
140,This is a horrible experience,negative
141,I am unhappy with this product,negative
142,The performance was awful,negative
143,The quality is terrible,negative
144,The movie was terrible,negative
145,The movie was boring,negative
146,This movie is very bad,negative
147,This experience was bad,negative
148,I cannot recommend this movie,negative
149,The acting is bad,negative
150,The movie was boring,negative
151,This is a bad movie,negative
152,This movie is bad,negative
153,The movie was terrible,negative
154,I hate this movie,negative
155,This is a disappointing experience,negative
156,The quality is disappointing,negative
157,I was not happy with the result,negative
158,I am dissatisfied with the service,negative
159,I am dissatisfied with the service,negative
160,This movie is bad,negative
161,This product does not work well,negative
162,This is a disappointing experience,negative
163,The quality is disappointing,negative
164,This is a bad movie,negative
165,I am dissatisfied with the service,negative
166,This movie is very bad,negative
167,This product does not work well,negative
168,This product does not work well,negative
169,I do not like this movie,negative
170,The performance was awful,negative
171,This is a horrible experience,negative
172,The result was terrible,negative
173,The quality is terrible,negative
174,This is a bad movie,negative
175,I do not like this movie,negative
176,I am dissatisfied with the service,negative
177,This experience was bad,negative
178,The result was terrible,negative
179,The quality is disappointing,negative
180,The performance was awful,negative
181,The movie was terrible,negative
182,The performance was awful,negative
183,The service was bad,negative
184,This experience was bad,negative
185,The acting is bad,negative
186,The acting is bad,negative
187,This is a disappointing experience,negative
188,The movie was awful,negative
189,I was not happy with the result,negative
190,I do not like this movie,negative
191,The acting is bad,negative
192,This experience was bad,negative
193,I never liked this movie,negative
194,The performance was awful,negative
195,The story is bad,negative
196,This is a disappointing experience,negative
197,The product is bad,negative
198,The quality is disappointing,negative
199,This product does not work well,negative
200,I am unhappy with this product,negative
201,This movie is very bad,negative
202,The quality is terrible,negative
203,The movie was terrible,negative
204,The acting is bad,negative
205,This is a bad movie,negative
206,The acting is bad,negative
207,The movie was awful,negative
208,This product does not work well,negative
209,The product is bad,negative
210,I was not happy with the result,negative
211,This is a horrible experience,negative
212,The quality is disappointing,negative
213,This movie is bad,negative
214,This is a disappointing experience,negative
215,I was not happy with the result,negative
216,I am unhappy with this product,negative
217,The quality is terrible,negative
218,This experience was bad,negative
219,This movie is very bad,negative
220,I don't like this movie,negative
221,This is a horrible experience,negative
222,The service was bad,negative
223,The movie was boring,negative
224,This product does not work well,negative
225,The performance was awful,negative
226,The result was terrible,negative
227,The quality is terrible,negative
228,This product does not work well,negative
229,This movie is very bad,negative
230,I don't like this movie,negative
231,This is a bad movie,negative
232,I am unhappy with this product,negative
233,I really do not like this movie,negative
234,The story is bad,negative
235,The quality is terrible,negative
236,I never liked this movie,negative
237,The performance was awful,negative
238,The movie was awful,negative
239,This movie is bad,negative
240,The result was terrible,negative
241,The movie was boring,negative
242,The experience was horrible,negative
243,I hate this movie,negative
244,I never liked this movie,negative
245,I do not like this movie,negative
246,The story is bad,negative
247,I am unhappy with this product,negative
248,This movie is bad,negative
249,I am unhappy with this product,negative
250,This experience was bad,negative
251,The movie was terrible,negative
252,I hate this movie,negative
253,The quality is disappointing,negative
254,The movie was awful,negative
255,The quality is terrible,negative
256,The movie was awful,negative
257,The result was terrible,negative
258,The quality is disappointing,negative
259,I really do not like this movie,negative
260,The performance was awful,negative
261,I never liked this movie,negative
262,The story is bad,negative
263,This is a horrible experience,negative
264,I never liked this movie,negative
265,This is a bad movie,negative
266,This experience was bad,negative
267,The quality is disappointing,negative
268,The performance was awful,negative
269,The performance was awful,negative
270,I hate this movie,negative
271,The quality is terrible,negative
272,I am unhappy with this product,negative
273,I really do not like this movie,negative
274,The product is bad,negative
275,I don't like this movie,negative
276,The movie was boring,negative
277,This is a horrible experience,negative
278,I cannot recommend this movie,negative
279,I really do not like this movie,negative
280,I was not happy with the result,negative
281,The movie was terrible,negative
282,This is a bad movie,negative
283,This product does not work well,negative
284,The experience was horrible,negative
285,I was not happy with the result,negative
286,This experience was bad,negative
287,The acting is bad,negative
288,The experience was horrible,negative
289,This is a horrible experience,negative
290,This is a bad movie,negative
291,The quality is disappointing,negative
292,This movie is bad,negative
293,The story is bad,negative
294,I cannot recommend this movie,negative
295,The story is bad,negative
296,The quality is disappointing,negative
297,I am dissatisfied with the service,negative
298,I am dissatisfied with the service,negative
299,This is a disappointing experience,negative
300,The performance was awful,negative
301,I was not happy with the result,negative
302,I really do not like this movie,negative
303,The quality is terrible,negative
304,I am unhappy with this product,negative
305,The performance was awful,negative
306,The service was bad,negative
307,The acting is bad,negative
308,I am unhappy with this product,negative
309,This product does not work well,negative
310,I am unhappy with this product,negative
311,The product is bad,negative
312,The quality is terrible,negative
313,The acting is bad,negative
314,I was not happy with the result,negative
315,I don't like this movie,negative
316,I never liked this movie,negative
317,I hate this movie,negative
318,I am dissatisfied with the service,negative
319,The product is bad,negative
320,I hate this movie,negative
321,I was not happy with the result,negative
322,This product does not work well,negative
323,This experience was bad,negative
324,This movie is very bad,negative
325,The acting is bad,negative
326,I cannot recommend this movie,negative
327,The performance was awful,negative
328,I never liked this movie,negative
329,The experience was horrible,negative
330,The product is bad,negative
331,The product is bad,negative
332,This is a disappointing experience,negative
333,The experience was horrible,negative
334,The quality is disappointing,negative
335,The result was terrible,negative
336,I really do not like this movie,negative
337,The performance was awful,negative
338,This movie is very bad,negative
339,I really do not like this movie,negative
340,This is a horrible experience,negative
341,I am dissatisfied with the service,negative
342,The acting is bad,negative
343,I was not happy with the result,negative
344,The movie was awful,negative
345,I was not happy with the result,negative
346,I was not happy with the result,negative
347,The quality is terrible,negative
348,The movie was awful,negative
349,This is a horrible experience,negative
350,The quality is terrible,negative
351,This movie is bad,negative
352,I cannot recommend this movie,negative
353,I really do not like this movie,negative
354,This experience was bad,negative
355,I was not happy with the result,negative
356,The result was terrible,negative
357,I really do not like this movie,negative
358,The movie was terrible,negative
359,The performance was awful,negative
360,The experience was horrible,negative
361,This is a bad movie,negative
362,The acting is bad,negative
363,The movie was boring,negative
364,I never liked this movie,negative
365,The product is bad,negative
366,The result was terrible,negative
367,The movie was terrible,negative
368,I was not happy with the result,negative
369,The acting is bad,negative
370,I was not happy with the result,negative
371,This is a disappointing experience,negative
372,I was not happy with the result,negative
373,I am unhappy with this product,negative
374,The product is bad,negative
375,The acting is bad,negative
376,The result was terrible,negative
377,I never liked this movie,negative
378,This product does not work well,negative
379,The performance was awful,negative
380,I was not happy with the result,negative
381,I am unhappy with this product,negative
382,This movie is very bad,negative
383,The movie was boring,negative
384,The movie was terrible,negative
385,I hate this movie,negative
386,The result was terrible,negative
387,This is a disappointing experience,negative
388,The story is bad,negative
389,I hate this movie,negative
390,I cannot recommend this movie,negative
391,The movie was terrible,negative
392,This experience was bad,negative
