tweet,sentiment
This movie is brilliant #1,positive
I absolutely hate this book #2,negative
The website is scheduled for tomorrow #3,neutral
What a wonderful movie #4,positive
This lesson is useless #5,negative
This meeting is available in the store #6,neutral
I really enjoyed this phone #7,positive
I absolutely hate this service #8,negative
The website is scheduled for tomorrow #9,neutral
Absolutely excellent update #10,positive
I absolutely hate this lesson #11,negative
The lesson is scheduled for tomorrow #12,neutral
I really enjoyed this website #13,positive
This meeting ruined my day #14,negative
I am looking at this product #15,neutral
I am extremely satisfied with this application #16,positive
Awful experience with this purchase #17,negative
The book arrived this morning #18,neutral
What a wonderful restaurant #19,positive
I am extremely dissatisfied with this course #20,negative
This service is available in the store #21,neutral
I really enjoyed this movie #22,positive
The game was awful #23,negative
The book starts at ten o'clock #24,neutral
I am extremely satisfied with this phone #25,positive
Awful experience with this show #26,negative
I am using this movie for work #27,neutral
This is an awesome device #28,positive
This is a terrible lesson #29,negative
I am looking at this update #30,neutral
This is an awesome game #31,positive
I do not recommend this restaurant #32,negative
The service was delivered this afternoon #33,neutral
I absolutely love this website #34,positive
I am extremely dissatisfied with this event #35,negative
This website is available in the store #36,neutral
Everything about this movie is perfect #37,positive
I really disliked this book #38,negative
The game is currently available #39,neutral
What a wonderful game #40,positive
The restaurant was awful #41,negative
I saw this book today #42,neutral
Amazing experience with this service #43,positive
I do not recommend this application #44,negative
I am using this website for work #45,neutral
What a wonderful show #46,positive
I really disliked this book #47,negative
I have a lesson today #48,neutral
I am very happy with this course #49,positive
Everything about this phone is disappointing #50,negative
The phone is scheduled for tomorrow #51,neutral
I am extremely satisfied with this course #52,positive
I really disliked this book #53,negative
This restaurant is available in the store #54,neutral
This is an awesome meeting #55,positive
This is a frustrating course #56,negative
The order is scheduled for tomorrow #57,neutral
I really enjoyed this show #58,positive
What a horrible book #59,negative
I received the website today #60,neutral
Amazing experience with this lesson #61,positive
Absolutely terrible book #62,negative
The meeting was delivered this afternoon #63,neutral
I really enjoyed this meeting #64,positive
I really disliked this game #65,negative
The experience is scheduled for tomorrow #66,neutral
Absolutely excellent order #67,positive
This is a terrible phone #68,negative
The movie is located nearby #69,neutral
What a wonderful application #70,positive
I am extremely dissatisfied with this purchase #71,negative
The service starts at ten o'clock #72,neutral
I really enjoyed this device #73,positive
I do not recommend this show #74,negative
I am using this book for work #75,neutral
Absolutely excellent product #76,positive
This movie is useless #77,negative
I saw this lesson today #78,neutral
I am extremely satisfied with this book #79,positive
I am extremely dissatisfied with this course #80,negative
This event is available in the store #81,neutral
I really enjoyed this application #82,positive
This product ruined my day #83,negative
The book was delivered this afternoon #84,neutral
Absolutely excellent application #85,positive
Absolutely terrible movie #86,negative
The event is located nearby #87,neutral
Everything about this hotel is perfect #88,positive
I do not recommend this restaurant #89,negative
I received the game today #90,neutral
I am extremely satisfied with this application #91,positive
Absolutely terrible hotel #92,negative
I have a product today #93,neutral
I highly recommend this course #94,positive
This product ruined my day #95,negative
This game is available in the store #96,neutral
This is an awesome event #97,positive
I am very disappointed with this phone #98,negative
The meeting is scheduled for tomorrow #99,neutral
This is an amazing service #100,positive
Awful experience with this order #101,negative
The service is located nearby #102,neutral
I am extremely satisfied with this lesson #103,positive
I am extremely dissatisfied with this experience #104,negative
I received the order today #105,neutral
Absolutely excellent application #106,positive
This is the worst hotel ever #107,negative
The update is located nearby #108,neutral
I really enjoyed this restaurant #109,positive
This is a frustrating lesson #110,negative
I am learning about this restaurant #111,neutral
Amazing experience with this event #112,positive
I really disliked this game #113,negative
The hotel is currently available #114,neutral
This movie made my day #115,positive
I am very disappointed with this website #116,negative
This course is available in the store #117,neutral
I absolutely love this meeting #118,positive
Absolutely terrible website #119,negative
The website starts at ten o'clock #120,neutral
I absolutely love this service #121,positive
Awful experience with this phone #122,negative
The service is scheduled for tomorrow #123,neutral
This is an awesome phone #124,positive
Everything about this course is disappointing #125,negative
This hotel is available in the store #126,neutral
I am very happy with this book #127,positive
This order is useless #128,negative
The lesson is scheduled for tomorrow #129,neutral
What a wonderful meeting #130,positive
I do not recommend this order #131,negative
The order is scheduled for tomorrow #132,neutral
I am extremely satisfied with this purchase #133,positive
I am very disappointed with this movie #134,negative
This purchase is available in the store #135,neutral
The purchase was fantastic #136,positive
I really disliked this show #137,negative
The phone is located nearby #138,neutral
This movie is brilliant #139,positive
I absolutely hate this device #140,negative
The course was delivered this afternoon #141,neutral
I am extremely satisfied with this movie #142,positive
I am very disappointed with this restaurant #143,negative
The lesson is scheduled for tomorrow #144,neutral
This experience made my day #145,positive
I really disliked this application #146,negative
I am looking at this show #147,neutral
I am very happy with this service #148,positive
This lesson ruined my day #149,negative
This phone is available in the store #150,neutral
This lesson is brilliant #151,positive
Everything about this product is disappointing #152,negative
This website is available in the store #153,neutral
What a wonderful purchase #154,positive
This order ruined my day #155,negative
The device is scheduled for tomorrow #156,neutral
This is an awesome phone #157,positive
What a horrible device #158,negative
I used this device today #159,neutral
This is the best show ever #160,positive
This is the worst purchase ever #161,negative
The lesson was delivered this afternoon #162,neutral
This order is brilliant #163,positive
What a horrible restaurant #164,negative
I am looking at this restaurant #165,neutral
I absolutely love this meeting #166,positive
Awful experience with this lesson #167,negative
I used this course today #168,neutral
I absolutely love this phone #169,positive
I do not recommend this order #170,negative
I am using this hotel for work #171,neutral
What a wonderful phone #172,positive
Absolutely terrible service #173,negative
The application is located nearby #174,neutral
This is an amazing update #175,positive
This is a terrible website #176,negative
I bought a new movie #177,neutral
This is an awesome meeting #178,positive
I am very disappointed with this meeting #179,negative
The phone starts at ten o'clock #180,neutral
I highly recommend this service #181,positive
I really disliked this meeting #182,negative
The hotel starts at ten o'clock #183,neutral
The book was fantastic #184,positive
I am very disappointed with this course #185,negative
The book is scheduled for tomorrow #186,neutral
I really enjoyed this experience #187,positive
This event is useless #188,negative
The course is currently available #189,neutral
This is an awesome service #190,positive
I absolutely hate this show #191,negative
The meeting starts at ten o'clock #192,neutral
This is an amazing service #193,positive
