id,text,category
1,The acting is bad,negative
2,It is neither impressive nor disappointing,neutral
3,The result was excellent,positive
4,I really disliked this movie,negative
5,The movie was ordinary,neutral
6,The movie is decent,neutral
7,I am dissatisfied with the service,negative
8,The performance was awful,negative
9,This movie is very good,positive
10,The result was terrible,negative
11,The movie was just okay,neutral
12,The movie was decent overall,neutral
13,The performance was okay,neutral
14,The movie was boring,negative
15,The experience was average,neutral
16,The movie is okay,neutral
17,The movie is average,neutral
18,The story is good,positive
19,This is a horrible experience,negative
20,The movie is decent,neutral
21,The acting is bad,negative
22,This is a fantastic experience,positive
23,This is an amazing experience,positive
24,I really disliked this movie,negative
25,This is a bad movie,negative
26,The performance was okay,neutral
27,The quality is excellent,positive
28,The quality is excellent,positive
29,This experience was bad,negative
30,It is neither impressive nor disappointing,neutral
31,The movie was great,positive
32,The result was terrible,negative
33,This movie is very good,positive
34,This movie is good,positive
35,The acting is bad,negative
36,This is a bad movie,negative
37,This movie is very good,positive
38,This movie is very good,positive
39,The movie was ordinary,neutral
40,This is a disappointing experience,negative
41,The movie was just okay,neutral
42,This is a bad movie,negative
43,The movie was just okay,neutral
44,The acting is good,positive
45,This movie is good,positive
46,The movie is average,neutral
47,The product is decent,neutral
48,The movie is neither good nor bad,neutral
49,The movie was awful,negative
50,The service is okay,neutral
51,The performance was awful,negative
52,It was fine,neutral
53,This movie is good,positive
54,I am happy with this product,positive
55,The result was excellent,positive
56,This is a fantastic experience,positive
57,The story is good,positive
58,The service was acceptable,neutral
59,The service is okay,neutral
60,The movie was boring,negative
61,The service was bad,negative
62,The performance was okay,neutral
63,The movie is neither good nor bad,neutral
64,The story is bad,negative
65,The movie was great,positive
66,This is an amazing experience,positive
67,The movie was ordinary,neutral
68,The story is good,positive
69,The product works as expected,neutral
70,The result was excellent,positive
71,I really disliked this movie,negative
72,The movie is neither good nor bad,neutral
73,This is an amazing experience,positive
74,This movie is very bad,negative
75,The quality is acceptable,neutral
76,I love this movie,positive
77,The acting is good,positive
