tweet,sentiment
"After trying it, What a horrible experience today .",negative
"For me, The flight is scheduled for Monday .",neutral
"Personally, Everything worked perfectly .",positive
"In my opinion, The product is available in three colors",neutral
"In my opinion, What a horrible experience today .",negative
"Personally, The application has been updated right now.",neutral
"For me, The report was published today honestly.",neutral
"Right now, The temperature is around 25 degrees honestly.",neutral
"Just saying, Absolutely awful experience .",negative
"Honestly, This update is awesome .",positive
"Right now, I absolutely hate this product #twitter",negative
The product is available in three colors after trying it.,neutral
"Overall, This movie was fantastic .",positive
I absolutely love this product honestly.,positive
"Overall, I am very disappointed with the results .",negative
"After trying it, The team did a terrible job #twitter",negative
"For me, I am impressed with the quality #twitter",positive
"Just saying, This is terrible and does not work .",negative
"Right now, The new features are useless",negative
"After trying it, The team did an amazing job .",positive
"Personally, The product is available in three colors in my opinion.",neutral
I absolutely love this product .,positive
I highly recommend this .,positive
"Honestly, What a wonderful experience today after trying it.",positive
"Personally, The team will meet next week",neutral
"Personally, The team did an amazing job .",positive
"After trying it, This movie was extremely boring .",negative
"Personally, The event starts at 6 PM .",neutral
"Overall, The report was published today today.",neutral
"Personally, I highly recommend this #twitter",positive
I am impressed with the quality .,positive
"Just saying, The flight is scheduled for Monday #twitter",neutral
"Honestly, The service was awful .",negative
"Just saying, The class begins at 10 AM .",neutral
This is amazing and works perfectly .,positive
The store opens at 9 AM .,neutral
"Overall, The package contains two items .",neutral
"In my opinion, The report was published today #review",neutral
"Personally, The team did a terrible job .",negative
"Personally, The class begins at 10 AM today.",neutral
"Honestly, I highly recommend this",positive
This made my day much worse .,negative
"After trying it, This is amazing and works perfectly .",positive
What a wonderful experience today honestly.,positive
"After trying it, The temperature is around 25 degrees .",neutral
"Overall, Everything went completely wrong .",negative
"Honestly, I am impressed with the quality right now.",positive
"Overall, I am very disappointed with the results .",negative
"For me, I really disliked this experience .",negative
"Today, I am satisfied with the results #twitter",positive
"Overall, I am satisfied with the results honestly.",positive
"For me, I absolutely hate this product #review",negative
"In my opinion, The new features are useless .",negative
"After trying it, Such a horrible day .",negative
"After trying it, The product is available in three colors .",neutral
"Personally, This is amazing and works perfectly after trying it.",positive
"For me, The service was excellent today.",positive
"Just saying, This is amazing and works perfectly in my opinion.",positive
"Today, The team did a terrible job .",negative
"After trying it, I am unhappy with the results after trying it.",negative
"In my opinion, This made my day so much better #twitter",positive
"Today, The service was excellent .",positive
"Personally, I received the package this morning .",neutral
This is amazing and works perfectly right now.,positive
"Overall, This is not what I wanted .",negative
"In my opinion, The team will meet next week #review",neutral
"Personally, The team will meet next week .",neutral
